Year,Game,Genre,Original platform,Publisher,HQ Location
1997,GoldenEye 007,First-person shooter,Nintendo 64,Nintendo,Japan
1997,Gran Turismo,Racing,PlayStation,Sony Computer Entertainment,United States
1997,Grand Theft Auto,Action-adventure,PC,BMG Interactive,United States
1997,Quake II,First-person shooter,PC,Activision,United States
1997,Star Fox 64,Rail shooter,Nintendo 64,Nintendo,Japan
1997,Star Wars Jedi Knight: Dark Forces II,First-person shooter,PC,LucasArts,United States
1997,Tekken 3,Fighting,Arcade,Namco,Japan
1997,Total Annihilation,Real-time strategy,"PC,Mac",Cavedog Entertainment,United States
1997,Ultima Online,MMORPG,"PC,Linux",Electronic Arts,United States
1998,Baldur's Gate,Role-playing,PC,Black Isle Studios,United States
1998,Crash Bandicoot: Warped,Platform,PlayStation,Sony Computer Entertainment,United States
1998,Dance Dance Revolution,Rhythm,Arcade,Konami,Japan
1998,Fallout 2,Role-playing,PC,Interplay Entertainment,United States
1998,Grim Fandango,Adventure,PC,LucasArts,United States
1998,Half-Life,First-person shooter,PC,Sierra Studios,United States
1998,The Legend of Zelda: Ocarina of Time,Action-adventure,Nintendo 64,Nintendo,Japan
1998,Metal Gear Solid,Stealth,PlayStation,Konami,Japan
1998,Panzer Dragoon Saga,Role-playing,Saturn,Sega,Japan
1998,Resident Evil 2,Survival horror,PlayStation,Capcom,Japan
1998,Soulcalibur,Fighting,Arcade,Namco,Japan
1998,StarCraft,Real-time strategy,PC,Blizzard Entertainment,United States
1998,Suikoden II,Role-playing,PlayStation,Konami,Japan
1998,Thief: The Dark Project,Stealth,PC,Eidos Interactive,United Kingdom
1999,Age of Empires II,Real-time strategy,PC,Microsoft,United States
1999,EverQuest,MMORPG,PC,Sony Online Entertainment,United States
1999,Homeworld,Real-time strategy,PC,Sierra Studios,United States
1999,Planescape: Torment,Role-playing,PC,Interplay Entertainment,United States
1999,Pokémon GoldandSilver,Role-playing,Game Boy Color,Nintendo,Japan
1999,Quake III: Arena,First-person shooter,PC,Activision,United States
1999,Shenmue,Action-adventure,Dreamcast,Sega,Japan
1999,Silent Hill,Survival horror,PlayStation,Konami,Japan
